mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,0.1,9,159,92,-252667.75306172503,-145048.1410516298,-217091.81517491202,-114180.56876138946,True,True
permutation_mix,0.1,10,159,92,-255454.8162920763,-147835.20428198107,-222231.4480196257,-118121.8664252386,True,True
permutation_mix,0.1,11,159,92,-249221.70826785653,-141602.0962577613,-214759.76595938994,-112138.63279025836,True,True
permutation_mix,0.1,12,159,92,-251677.47388029296,-144057.86187019772,-217047.9301277946,-114529.11255313663,True,True
permutation_mix,0.1,13,159,92,-244550.11361985124,-136930.50160975603,-208761.71586739825,-107516.59758758928,True,True
permutation_mix,0.1,14,159,92,-252703.09990777407,-145083.4878976788,-216486.25119043933,-113884.80963695428,True,True
permutation_mix,0.1,15,159,92,-248831.99127785047,-141212.37926775526,-215409.34000984803,-110670.70123778298,True,True
permutation_mix,0.1,16,159,92,-254576.04346537148,-146956.43145527624,-217621.43491008037,-117866.79929640898,True,True
permutation_mix,0.1,17,159,92,-255591.92839928297,-147972.3163891877,-219838.75596645355,-118731.94534442965,True,True
permutation_mix,0.1,18,159,92,-254981.25333073852,-147361.64132064325,-220944.10780956096,-118040.43845009722,True,True
permutation_mix,0.1,19,159,92,-250631.90775531932,-143012.2957452241,-216133.2103550222,-114173.39684155064,True,True
permutation_mix,0.1,20,159,92,-248870.38814687476,-141250.77613677952,-213119.82480624338,-109876.45847267128,True,True
permutation_mix,0.1,21,159,92,-253876.76779675946,-146257.15578666423,-217897.50595910693,-115831.88384651805,True,True
permutation_mix,0.1,22,159,92,-253488.93869928544,-145869.32668919017,-217347.3188781505,-113360.67784884111,True,True
permutation_mix,0.1,23,159,92,-253287.95627017962,-145668.34426008438,-217602.45256431546,-114112.72514341188,True,True
permutation_mix,0.1,24,159,92,-247567.66597571346,-139948.05396561825,-211470.81405406047,-108849.51251792298,True,True
permutation_mix,0.1,25,159,92,-257345.9405287456,-149726.32851865032,-223661.08248344346,-122997.96240410538,True,True
permutation_mix,0.1,26,159,92,-251549.378490439,-143929.76648034377,-213903.47660931785,-113660.5114976689,True,True
permutation_mix,0.1,27,159,92,-251605.67007246922,-143986.05806237398,-215544.39552674696,-113544.79176483965,True,True
permutation_mix,0.1,28,159,92,-246536.7654841098,-138917.15347401454,-213111.43126501757,-110328.17565575914,True,True
permutation_mix,0.1,29,159,92,-252435.06865583846,-144815.45664574322,-218194.3274244368,-117657.48805756033,True,True
permutation_mix,0.25,0,159,92,-225803.29865929548,-118183.68664920023,-194487.50873961288,-97207.8201647215,True,True
permutation_mix,0.25,1,159,92,-219283.99299507876,-111664.38098498352,-191030.4498079509,-94185.96889096046,True,True
permutation_mix,0.25,2,159,92,-221283.46040772522,-113663.84839762998,-190618.60361459875,-94962.51534197656,True,True
permutation_mix,0.25,3,159,92,-212897.75967846048,-105278.14766836524,-182081.46555264873,-85594.39251900352,True,True
