arm_id,model_id,feature_family,outer_fold,rmse,mae,r2
C010,catboost,metadata_only,O5,0.6650414143594146,0.524030674943035,-0.18941072117063662
C010,catboost,metadata_only,O6,0.4974915083189602,0.3689643464791273,-0.2800444399734874
C010,catboost,weather_only,O1,0.4310072030895684,0.33755814786850236,0.043830334150998795
C010,catboost,weather_only,O2,0.3628296393442105,0.2952745155748598,0.10441601695282876
C010,catboost,weather_only,O3,0.4762765028810956,0.3688032442471079,0.016683770174371837
C010,catboost,weather_only,O4,0.4264450738879392,0.34479586623427966,-0.05096775114325891
C010,catboost,weather_only,O5,0.6109331346910375,0.47672329770212374,-0.0037413764755214185
C010,catboost,weather_only,O6,0.48989041800309235,0.3678749799643139,-0.24122808334031798
C010,extra_trees,full,O1,0.4190791355129025,0.3266580972466908,0.09602174452280898
C010,extra_trees,full,O2,0.37586036522917177,0.30334993664216653,0.03893255443071586
C010,extra_trees,full,O3,0.47483733346424134,0.36569168360001325,0.022617384522677253
C010,extra_trees,full,O4,0.42801636596024073,0.3392844209833436,-0.05872687302608237
C010,extra_trees,full,O5,0.608484596403079,0.47744675168103085,0.004288222796205887
C010,extra_trees,full,O6,0.47251393059824187,0.34710070710385826,-0.154736615056696
C010,extra_trees,metadata_only,O1,0.44260531965582445,0.3613225162697358,-0.008321816827495443
C010,extra_trees,metadata_only,O2,0.38370870675796104,0.31175503697337875,-0.0016225916556840136
C010,extra_trees,metadata_only,O3,0.4930094882905324,0.38531788261339095,-0.05362350447683406
C010,extra_trees,metadata_only,O4,0.4228595769256208,0.34351252476620914,-0.03336923515093981
C010,extra_trees,metadata_only,O5,0.6650414138863838,0.524030674680141,-0.1894107194786283
C010,extra_trees,metadata_only,O6,0.49749150864841796,0.36896434667663613,-0.28004444166887543
C010,extra_trees,weather_only,O1,0.4185656772439969,0.32681875069095734,0.09823550668878411
C010,extra_trees,weather_only,O2,0.36658173730530985,0.295363632709852,0.08579739623359339
C010,extra_trees,weather_only,O3,0.4793545022697021,0.3718549016168842,0.003933081082137524
C010,extra_trees,weather_only,O4,0.43036035384737664,0.3437816030910408,-0.07035464428021299
C010,extra_trees,weather_only,O5,0.6043431354454134,0.47049535708491125,0.017796101646890383
C010,extra_trees,weather_only,O6,0.47026611183339584,0.34701847405716313,-0.14377624100059383
C010,hist_gradient_boosting,full,O1,0.44675539325971925,0.353129345578226,-0.027319456460322078
C010,hist_gradient_boosting,full,O2,0.37177018978636744,0.307264132544822,0.05973573711674873
C010,hist_gradient_boosting,full,O3,0.49222548451752607,0.3681140590149931,-0.050275138908248085
C010,hist_gradient_boosting,full,O4,0.42719248821104194,0.3446399073749419,-0.05465496323226904
