arm_id,model_id,feature_family,outer_fold,config_id,mean_inner_rmse,worst_inner_rmse,complexity_rank
C000,linear_shrinkage,weather_only,O6,LIN_C03,0.5236448948022193,0.6618087129286798,3.0
C001,catboost,full,O1,CAT_E06,0.4289877355592273,0.46624719720293456,6.0
C001,catboost,full,O2,CAT_E06,0.4303417031176364,0.48379125220357244,6.0
C001,catboost,full,O3,CAT_E08,0.38903265059989817,0.41168425848972734,8.0
C001,catboost,full,O4,CAT_E12,0.416590324772633,0.46876871538172377,12.0
C001,catboost,full,O5,CAT_E10,0.418561599123021,0.47636185639627376,10.0
C001,catboost,full,O6,CAT_E03,0.5015882653103264,0.6118298401976843,3.0
C001,catboost,metadata_only,O1,CAT_E09,0.4493250099436032,0.5092128532426224,9.0
C001,catboost,metadata_only,O2,CAT_E02,0.44729817642904984,0.5050532407322396,2.0
C001,catboost,metadata_only,O3,CAT_E01,0.40684999846013686,0.44539380609840795,1.0
C001,catboost,metadata_only,O4,CAT_E01,0.44070400036476043,0.4930094881845526,1.0
C001,catboost,metadata_only,O5,CAT_E04,0.43319259060098875,0.4930094881560835,4.0
C001,catboost,metadata_only,O6,CAT_E04,0.5269701597654786,0.6650414143266108,4.0
C001,catboost,weather_only,O1,CAT_E10,0.426624192145437,0.46872366982848246,10.0
C001,catboost,weather_only,O2,CAT_E11,0.429614477556687,0.48237467623551594,11.0
C001,catboost,weather_only,O3,CAT_E02,0.3879006921497634,0.4188749928100185,2.0
C001,catboost,weather_only,O4,CAT_E05,0.4177091339140313,0.4775487129102253,5.0
C001,catboost,weather_only,O5,CAT_E02,0.41984942704751144,0.47453727786573785,2.0
C001,catboost,weather_only,O6,CAT_E10,0.5061324457863529,0.6164026650259062,10.0
C001,extra_trees,full,O1,ET_E10,0.42758368312573364,0.4577947149188907,10.0
C001,extra_trees,full,O2,ET_E02,0.4257830129403228,0.4820949764080762,2.0
C001,extra_trees,full,O3,ET_E08,0.38945574975185476,0.4138324979094251,8.0
C001,extra_trees,full,O4,ET_E03,0.419907140589076,0.4772914089484771,3.0
C001,extra_trees,full,O5,ET_E11,0.4229158413021945,0.47670354204231224,11.0
C001,extra_trees,full,O6,ET_E02,0.4993694008018297,0.5926045095566307,2.0
C001,extra_trees,metadata_only,O1,ET_E01,0.44932501004953695,0.5092128533759249,1.0
C001,extra_trees,metadata_only,O2,ET_E07,0.4472981765082533,0.505053240961276,7.0
C001,extra_trees,metadata_only,O3,ET_E03,0.40684999844048103,0.4453938058601741,3.0
C001,extra_trees,metadata_only,O4,ET_E03,0.44070400030288837,0.4930094882905317,3.0
C001,extra_trees,metadata_only,O5,ET_E03,0.43319259065803806,0.4930094882905317,3.0
C001,extra_trees,metadata_only,O6,ET_E11,0.5269701597008437,0.6650414138863774,11.0
