base_id,candidate_id,arm_id,model_id,signal_strength_mde,measurement_error_sd,spatial_mismatch_fraction,seed,n_test,rmse_model,rmse_metadata,rmse_zero,module_a_point_pass,module_b_point_pass,event_prevalence,event_n,event_spearman,event_topk_lift,module_e_point_pass,policy_permission,ground_truth_valid,correct_permission,correct_stop,ground_truth_used_as_model_input
06a1d3f1294a13287532,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71002,66,0.4603756800420147,0.449790101960164,0.4728670977399679,True,False,half,6,0.48571428571428577,0.0,False,False,False,False,True,False
06a1d3f1294a13287532,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71002,66,0.4603756800420147,0.449790101960164,0.4728670977399679,True,False,quarter,3,-0.5,0.0,False,False,False,False,True,False
71f04203d9ea01f9ae4a,winner,C310,catboost,0.0,0.0,0.0,71003,66,0.5160281155991903,0.49785067465716565,0.4830795706477472,False,False,base,11,-0.44545454545454555,1.6363636363636365,False,False,False,False,True,False
71f04203d9ea01f9ae4a,winner,C310,catboost,0.0,0.0,0.0,71003,66,0.5160281155991903,0.49785067465716565,0.4830795706477472,False,False,half,6,-0.5428571428571429,0.0,False,False,False,False,True,False
71f04203d9ea01f9ae4a,winner,C310,catboost,0.0,0.0,0.0,71003,66,0.5160281155991903,0.49785067465716565,0.4830795706477472,False,False,quarter,3,-1.0,0.0,False,False,False,False,True,False
1dfedcf32ee0f1446d11,runner_up_1,C300,catboost,0.0,0.0,0.0,71003,66,0.5109624906455117,0.4773008199713305,0.4830795706477472,False,False,base,11,-0.44545454545454555,1.0909090909090908,False,False,False,False,True,False
1dfedcf32ee0f1446d11,runner_up_1,C300,catboost,0.0,0.0,0.0,71003,66,0.5109624906455117,0.4773008199713305,0.4830795706477472,False,False,half,6,-0.14285714285714288,0.0,False,False,False,False,True,False
1dfedcf32ee0f1446d11,runner_up_1,C300,catboost,0.0,0.0,0.0,71003,66,0.5109624906455117,0.4773008199713305,0.4830795706477472,False,False,quarter,3,-1.0,0.0,False,False,False,False,True,False
4f1c8f9b977755031556,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71003,66,0.47461929642479206,0.48694038393554084,0.4830795706477472,True,True,base,11,-0.38181818181818183,1.6363636363636365,False,False,False,False,True,False
4f1c8f9b977755031556,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71003,66,0.47461929642479206,0.48694038393554084,0.4830795706477472,True,True,half,6,-0.2571428571428572,1.8333333333333333,False,False,False,False,True,False
4f1c8f9b977755031556,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71003,66,0.47461929642479206,0.48694038393554084,0.4830795706477472,True,True,quarter,3,-1.0,0.0,False,False,False,False,True,False
6d0a4af2463d8680e706,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71003,66,0.5064261570554957,0.4768252508259516,0.4830795706477472,False,False,base,11,-0.5375868161422822,1.6363636363636365,False,False,False,False,True,False
6d0a4af2463d8680e706,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71003,66,0.5064261570554957,0.4768252508259516,0.4830795706477472,False,False,half,6,0.20291986247835697,0.0,False,False,False,False,True,False
6d0a4af2463d8680e706,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71003,66,0.5064261570554957,0.4768252508259516,0.4830795706477472,False,False,quarter,3,-0.5,0.0,False,False,False,False,True,False
aa159b3341564435e998,winner,C310,catboost,0.0,0.0,0.0,71004,66,0.519993193126387,0.4988378585505405,0.49624087736908823,False,False,base,11,0.08181818181818183,1.6363636363636365,True,False,False,False,True,False
aa159b3341564435e998,winner,C310,catboost,0.0,0.0,0.0,71004,66,0.519993193126387,0.4988378585505405,0.49624087736908823,False,False,half,6,-0.14285714285714288,3.6666666666666665,False,False,False,False,True,False
aa159b3341564435e998,winner,C310,catboost,0.0,0.0,0.0,71004,66,0.519993193126387,0.4988378585505405,0.49624087736908823,False,False,quarter,3,-1.0,0.0,False,False,False,False,True,False
0f3ddb5f95ec2426a17e,runner_up_1,C300,catboost,0.0,0.0,0.0,71004,66,0.49869494095343697,0.470423338589226,0.49624087736908823,False,False,base,11,0.0,1.0909090909090908,False,False,False,False,True,False
0f3ddb5f95ec2426a17e,runner_up_1,C300,catboost,0.0,0.0,0.0,71004,66,0.49869494095343697,0.470423338589226,0.49624087736908823,False,False,half,6,0.3714285714285715,0.0,False,False,False,False,True,False
0f3ddb5f95ec2426a17e,runner_up_1,C300,catboost,0.0,0.0,0.0,71004,66,0.49869494095343697,0.470423338589226,0.49624087736908823,False,False,quarter,3,0.5,0.0,False,False,False,False,True,False
bf9e4b6fa63b6b00290c,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71004,66,0.4922005652155116,0.4722686892942789,0.49624087736908823,True,False,base,11,0.19090909090909092,2.1818181818181817,True,False,False,False,True,False
bf9e4b6fa63b6b00290c,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71004,66,0.4922005652155116,0.4722686892942789,0.49624087736908823,True,False,half,6,0.08571428571428573,0.0,False,False,False,False,True,False
bf9e4b6fa63b6b00290c,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71004,66,0.4922005652155116,0.4722686892942789,0.49624087736908823,True,False,quarter,3,0.5,0.0,False,False,False,False,True,False
b7ff8a76a5deb668eae7,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71004,66,0.5073108161059585,0.47066982673244473,0.49624087736908823,False,False,base,11,0.21968481058860553,1.0909090909090908,True,False,False,False,True,False
